Jesus,Genuino Bispo,Salvador,Carpinteiro,Florinda Almeida,25/09/1970;  
Genuino Bispo,Claudia Almeida,Jequié,Professora,Alex Santos,12/10/1990;
Genuino Bispo,Maria Almeida,Laje,Lojista,Solteira,22/11/1994;
Genuino Bispo,Miguel Almeida,Jiquiriça,Varejista,Solteiro,22/11/1997;
Genuino Bispo,Maicon Almeida,Mutuipe,Advogado,Solteiro,22/11/1999;
Maria Almeida,José Martins,Jaguaquara,Estudante,Solteiro,02/01/2001;
Miguel Almeida,Nevison Martins,Jaguaquara,Estudante,Solteiro,02/01/2001;
Miguel Almeida,Kaic Martins,Laje,Estudante,Solteiro,02/01/2004;
Kaic Martins,Olavio Martins,Laje,Pedreiro,Solteiro,02/01/2014;
Maicon Almeida,Neandro Geronimo,Salvador,Estudante,Solteiro,02/01/20010;
Neandro Geronimo,Leonardo Augusto,Salvador,Estudante,Solteiro,02/01/20012;
Neandro Geronimo,Leandro Augusto,Salvador,Estudante,Solteiro,02/01/20012;
Neandro Geronimo,Lucas Geronimo,Salvador,Estudante,Solteiro,02/01/20014;
Leandro Augusto,Polyanna Bispo,Salvador,Estudante,Solteira,02/01/20017;
Leandro Augusto,Cleiton Silva,Salvador,Estudante,Solteira,02/01/20018;
Claudia Almeida,Hiago Almeida,Amargosa,Estudante,Solteiro,02/01/2001;
Claudia Almeida,Beto Jesus,Santo Antonio de Jesus,Estudante,Solteiro,02/01/2001;
Beto Jesus,Pedro Brasil,Santo Antonio de Jesus,Estudante,Solteiro,02/01/2001;
Beto Jesus,Rafael Peixoto,São Gonçalo,Estudante,Solteiro,02/01/2002;
Hiago Almeida,Tiago Almeida,Ubaíra,Não possui,Solteiro,24/08/2008;
Hiago Almeida,Simara Santiago,Santa Inês,Não possui,Solteira,24/08/2010;
Simara Santiago,Tenorio Santiago,Santa Inês,Não possui,Solteiro,24/08/2015;
Simara Santiago,Geronimo Santiago,Santa Inês,Não possui,Solteiro,24/08/2016;
Geronimo Santiago,Vitor Norter,Santa Inês,Não possui,Solteiro,24/08/2019;
Vitor Norter,Ivisson Norter,Cruz das Almas,Professor,Maria Andrade,30/11/2019;
Vitor Norter,Jeronimo Norter,Cruz das Almas,Escritor,Solteiro,30/12/2019;
Vitor Norter,Klevisson Norter,Cruz das Almas,Professor,Maria Andrade,30/12/2019;
